common vocabulary size  ,distance_between_users,user1,user2
754,0.724827514,177831,2535732
753,0.724828035,902933,3761568
745,0.724856655,81109,1711318
761,0.725013386,1240511,1497561
750,0.725051672,1184397,2535732
757,0.725139171,1339206,1849426
742,0.725206367,787615,1140297
752,0.725252608,1497561,17949966
735,0.725290577,90175,172656
742,0.725326262,1330950,1940900
762,0.725349388,1497561,16927896
750,0.725410961,787615,19378289
751,0.725474925,902933,1347669
756,0.72549517,379353,390025
762,0.725501365,507200,25362190
754,0.725641026,227353,1272651
754,0.725717867,1184397,2078581
759,0.72574858,1272651,1568320
743,0.725749586,172656,227353
771,0.725762806,1531518,4294732
745,0.725811129,1711318,2535732
751,0.72584152,10355638,17949966
757,0.72590179,1240511,2328351
745,0.72594074,390025,25362190
760,0.726017374,214643,25362190
738,0.726039951,238543,902933
758,0.726070885,453751,21393536
755,0.726088202,90175,257024
750,0.726119467,19676866,20440192
752,0.726123195,681758,1184397
750,0.726123914,2193077,21393536
757,0.726174771,534017,660478
756,0.726223963,9663,787615
750,0.726289703,1218609,1347669
750,0.726294369,144230,902933
757,0.726316056,1711318,1847105
746,0.726327476,724166,23930092
754,0.726338308,1140297,2193077
754,0.726372676,90175,108019
750,0.726406666,208354,902933
745,0.726418721,787615,876021
750,0.726437222,5900916,25362190
765,0.72645137,271979,1497561
758,0.726458907,1140297,4294732
758,0.72649856,177831,534017
761,0.726541501,479681,1711318
750,0.726576201,352610,902933
746,0.726598198,1184397,9114042
761,0.72676772,170212,454303
746,0.726842701,82917,787615
752,0.726905059,21393536,24438541
751,0.7269087,1184397,23930092
736,0.727010048,787615,1568320
737,0.727052087,238543,724166
751,0.72718835,172656,454303
767,0.727260126,1568320,1849426
761,0.727361149,7782049,8183133
756,0.727368443,1659137,25362190
757,0.727511105,1497561,10355638
748,0.72752204,257024,1218609
749,0.727609871,799305,876454
761,0.727650976,179656,902933
758,0.727708008,1140297,15161948
750,0.727725421,144230,1140297
747,0.727762534,1339206,21393536
745,0.727770609,799305,1140297
757,0.727796885,144230,454303
759,0.727839523,158337,177831
747,0.727854578,8183133,23930092
763,0.727909313,158337,4783913
755,0.727941955,390025,2328351
763,0.728066952,2256899,21393536
756,0.728071458,7782049,10124982
763,0.728074224,10355638,16927896
735,0.728081953,25362190,44588015
746,0.728260206,133226,285606
756,0.728287229,10124982,10355638
763,0.728362905,902933,3948010
756,0.728380984,1140297,16927896
757,0.728430149,676300,21393536
757,0.728445283,177831,4783913
749,0.72847837,902933,2193077
745,0.728494825,177831,1140297
765,0.728633492,10733167,21393536
760,0.728658026,1339206,3327254
765,0.728693195,4783913,20645879
757,0.728813705,15110667,26281817
753,0.728940019,1184397,19378289
747,0.728988434,10355638,20440192
753,0.728998623,1330950,23930092
738,0.729068132,1184397,25362190
762,0.72907386,687678,21393536
761,0.729117062,1497561,26281817
762,0.729166283,271979,902933
761,0.729238981,179656,1711318
770,0.729245718,1531518,2256899
759,0.729250281,158337,2483880
754,0.729271103,902933,1849426
762,0.729370225,902933,1083527
735,0.729448544,902933,1940900
763,0.729449539,902933,4294732
740,0.729462818,951968,1339206
751,0.729465162,1339206,19378289
740,0.729465664,1140297,23930092
767,0.729486186,533966,687678
760,0.729525723,660478,2535732
763,0.729534979,7782049,14080464
760,0.729726772,2193077,10355638
748,0.729744457,724166,876021
759,0.729748057,188019,1272651
752,0.72981129,687678,1497561
755,0.729842761,352610,724166
751,0.729899628,1330950,25362190
746,0.729990267,902933,20440192
767,0.729993305,179656,1184397
744,0.730012181,1032287,1711318
757,0.730043804,351247,902933
754,0.730134808,2483880,7782049
753,0.730150654,1339206,1568320
745,0.730254654,90175,285606
754,0.730268304,453751,19378289
764,0.730274874,1272651,1330950
765,0.730346685,10355638,14080464
769,0.730416735,179656,188019
762,0.730445978,7782049,19676866
750,0.730666285,208354,25362190
757,0.730678435,1711318,2078581
744,0.730727183,1140297,10124982
758,0.730789701,1711318,19378289
763,0.730798029,390025,10355638
748,0.730805379,1140297,15110667
755,0.730826783,188019,902933
747,0.730829735,951968,25362190
752,0.730881342,1497561,10124982
750,0.730913255,787615,1039457
760,0.730914468,108019,21393536
758,0.731003372,899125,14415072
760,0.731063758,453751,1339206
752,0.731063831,902933,1036997
756,0.731091642,177831,1711318
739,0.731097174,787615,25362190
764,0.731100335,453751,1531518
764,0.731109399,177831,1580268
754,0.731121289,17949966,19378289
741,0.731181752,81109,1218609
740,0.731212592,528773,1218609
761,0.731263279,390025,453751
752,0.731274161,1330950,1339206
760,0.731385222,1240511,25362190
754,0.731427191,2328351,20440192
758,0.73143242,158337,21393536
757,0.731508922,534017,902933
761,0.731518076,144230,876454
773,0.731541231,28164074,61197531
765,0.731566391,687678,1347669
762,0.731576264,5030467,7782049
756,0.731577038,9663,799305
762,0.731589945,390025,7782049
762,0.731592527,170212,257024
757,0.731690593,1218609,2669471
761,0.731695548,1339206,3761568
759,0.731815314,177831,15110667
762,0.731889055,534017,15110667
744,0.731944867,902933,10124982
770,0.731999005,4294732,19378289
746,0.732000462,787615,23930092
757,0.732001229,1711318,2647782
755,0.732042147,951968,2570699
753,0.73206811,799305,2647782
762,0.732144733,2086964,25362190
763,0.732187167,902933,3327254
762,0.732342766,1083527,25362190
764,0.732350279,10411973,21393536
744,0.732353524,20091576,25362190
759,0.732408803,208354,1497561
749,0.732458784,1218609,15161948
757,0.73247084,2483880,20440192
741,0.732542303,238543,951968
760,0.73254241,271979,1339206
757,0.732632154,19378289,20440192
764,0.73266645,1497561,3327254
760,0.732679115,1698056,25362190
760,0.73268214,876454,1339206
760,0.732749841,1030683,1339206
761,0.732810083,108019,144230
773,0.732823736,210298,1531518
742,0.732838828,1218609,2622260
750,0.732892118,902933,2328351
760,0.732921069,747081,1184397
748,0.732921521,144230,1940900
762,0.732954708,453751,2328351
753,0.732961764,82917,1339206
766,0.732975703,108019,177831
757,0.732986128,188019,1330950
761,0.733014672,1497561,24131668
761,0.733040624,1497561,5070783
753,0.733110904,285606,9114042
755,0.733112758,1240511,8183133
762,0.733126412,1497561,7782049
759,0.7331512,7782049,15110667
752,0.733211293,5875196,21393536
757,0.733229784,1711318,1731373
763,0.733259188,660478,1531518
758,0.733294034,1140297,1849426
767,0.733314752,4294732,21393536
747,0.733377333,11635970,25362190
